                     Package                Version      
mgcv                 "mgcv"                 "1.8-31"     
nlme                 "nlme"                 "3.1-142"    
nnet                 "nnet"                 "7.3-12"     
parallel             "parallel"             "3.6.1"      
rpart                "rpart"                "4.1-15"     
spatial              "spatial"              "7.3-11"     
splines              "splines"              "3.6.1"      
stats                "stats"                "3.6.1"      
stats4               "stats4"               "3.6.1"      
survival             "survival"             "3.1-7"      
tcltk                "tcltk"                "3.6.1"      
tools                "tools"                "3.6.1"      
utils                "utils"                "3.6.1"
